----- POSITION COMMAND -----
16.33	-0.00	-0.00	1.18
t(s)	x(m)	y(m)	z(m)	vx(m/s)	vy(m/s)	vz(m/s)
16.34 -0.00 -0.00 0.18 -0.00 0.00 0.00
16.39 -0.00 -0.00 0.19 -0.00 0.00 0.29
16.44 -0.00 -0.00 0.21 -0.00 0.00 0.70
16.49 -0.00 -0.00 0.25 -0.00 0.00 1.00
16.54 -0.00 -0.00 0.31 -0.00 0.00 1.21
16.59 -0.00 -0.00 0.38 -0.00 0.00 1.35
16.64 -0.00 -0.00 0.44 -0.00 0.00 1.43
16.69 -0.00 -0.00 0.52 -0.00 0.00 1.45
16.74 -0.00 0.00 0.59 -0.00 0.00 1.44
16.79 -0.00 0.00 0.66 -0.00 0.00 1.39
16.84 -0.00 0.00 0.73 -0.00 0.00 1.32
16.89 -0.00 0.00 0.79 -0.00 0.00 1.23
16.94 -0.00 0.00 0.85 0.00 0.00 1.14
16.99 -0.00 0.00 0.90 0.00 0.00 1.03
17.4 -0.00 0.00 0.95 0.00 -0.00 0.93
17.9 -0.00 0.00 1.00 0.00 -0.00 0.82
17.14 -0.00 0.00 1.04 0.00 -0.00 0.72
17.19 -0.00 0.00 1.07 0.00 -0.00 0.62
17.24 -0.00 0.00 1.10 0.00 -0.00 0.53
17.29 -0.00 0.00 1.12 0.00 -0.00 0.45
17.34 -0.00 0.00 1.14 0.00 -0.00 0.37
17.39 -0.00 -0.00 1.16 0.00 -0.00 0.31
17.44 -0.00 -0.00 1.17 0.00 -0.00 0.24
17.49 -0.00 -0.00 1.18 0.00 -0.00 0.19
17.54 -0.00 -0.00 1.19 0.00 -0.00 0.14
17.59 -0.00 -0.00 1.20 0.00 -0.00 0.10
17.64 -0.00 -0.00 1.20 0.00 -0.00 0.07
17.69 -0.00 -0.00 1.21 0.00 -0.00 0.04
17.74 -0.00 -0.00 1.21 0.00 -0.00 0.02
17.79 -0.00 -0.00 1.21 0.00 -0.00 0.00
17.84 -0.00 -0.00 1.21 0.00 -0.00 -0.01
17.89 -0.00 -0.00 1.21 0.00 -0.00 -0.02
17.94 -0.00 -0.00 1.21 0.00 -0.00 -0.03
17.99 -0.00 -0.00 1.20 0.00 -0.00 -0.04
18.4 -0.00 -0.00 1.20 0.00 -0.00 -0.04
18.9 -0.00 -0.00 1.20 0.00 -0.00 -0.04
18.14 -0.00 -0.00 1.20 0.00 -0.00 -0.04
18.19 -0.00 -0.00 1.20 0.00 -0.00 -0.04
18.24 -0.00 -0.00 1.19 0.00 -0.00 -0.04
18.29 -0.00 -0.00 1.19 0.00 -0.00 -0.04
18.34 -0.00 -0.00 1.19 0.00 -0.00 -0.03
18.39 -0.00 -0.00 1.19 0.00 -0.00 -0.03
18.44 -0.00 -0.00 1.19 0.00 -0.00 -0.03
18.49 -0.00 -0.00 1.19 -0.00 -0.00 -0.03
18.54 -0.00 -0.00 1.18 -0.00 -0.00 -0.02
18.59 -0.00 -0.00 1.18 -0.00 -0.00 -0.02
18.64 -0.00 -0.00 1.18 -0.00 0.00 -0.02
18.69 -0.00 -0.00 1.18 -0.00 0.00 -0.01
18.74 -0.00 -0.00 1.18 -0.00 0.00 -0.01
18.79 -0.00 -0.00 1.18 -0.00 0.00 -0.01
18.84 -0.00 -0.00 1.18 -0.00 0.00 -0.01
18.89 -0.00 -0.00 1.18 -0.00 0.00 -0.01
18.94 -0.00 -0.00 1.18 -0.00 0.00 -0.00
18.99 -0.00 -0.00 1.18 -0.00 0.00 -0.00
19.4 -0.00 -0.00 1.18 -0.00 0.00 -0.00
19.9 -0.00 -0.00 1.18 -0.00 0.00 -0.00
19.14 -0.00 -0.00 1.18 -0.00 0.00 -0.00
----- POSITION COMMAND -----
20.87	-0.00	1.00	1.18
t(s)	x(m)	y(m)	z(m)	vx(m/s)	vy(m/s)	vz(m/s)
20.87 -0.00 -0.00 1.18 0.00 -0.00 0.00
20.92 -0.00 -0.00 1.18 0.00 0.00 0.00
20.97 -0.00 0.00 1.18 0.00 0.10 -0.01
21.2 -0.00 0.01 1.18 0.00 0.29 -0.05
21.7 -0.00 0.03 1.18 0.00 0.50 -0.08
21.12 -0.00 0.06 1.17 0.00 0.69 -0.09
21.17 -0.00 0.10 1.17 0.00 0.86 -0.09
21.22 -0.00 0.15 1.16 0.00 1.01 -0.08
21.27 -0.00 0.20 1.16 0.00 1.12 -0.06
21.32 -0.00 0.26 1.16 0.00 1.21 -0.04
21.37 -0.00 0.32 1.16 0.00 1.27 -0.02
21.42 -0.00 0.39 1.15 0.00 1.31 -0.01
21.47 -0.00 0.45 1.15 0.00 1.33 0.01
21.52 -0.00 0.52 1.15 0.00 1.33 0.02
21.57 -0.00 0.59 1.16 0.00 1.32 0.03
21.62 -0.00 0.65 1.16 0.00 1.29 0.03
21.67 -0.00 0.71 1.16 0.00 1.25 0.04
21.72 -0.00 0.78 1.16 0.00 1.20 0.04
21.77 -0.00 0.83 1.16 0.00 1.14 0.04
21.82 -0.00 0.89 1.17 0.00 1.08 0.03
21.87 -0.00 0.94 1.17 0.00 1.00 0.03
21.92 -0.00 0.99 1.17 0.00 0.92 0.02
21.97 -0.00 1.03 1.17 0.00 0.84 0.02
22.2 -0.00 1.07 1.17 -0.00 0.76 0.02
22.7 -0.00 1.11 1.17 -0.00 0.67 0.01
22.12 -0.00 1.14 1.17 -0.00 0.59 0.01
22.17 -0.00 1.17 1.17 -0.00 0.50 0.01
22.22 -0.00 1.19 1.17 -0.00 0.41 0.00
22.27 -0.00 1.21 1.17 -0.00 0.33 0.00
22.32 -0.00 1.22 1.17 -0.00 0.25 0.00
22.37 -0.00 1.23 1.17 -0.00 0.18 0.00
22.42 -0.00 1.24 1.17 -0.00 0.10 0.00
22.47 -0.00 1.24 1.17 -0.00 0.03 0.00
22.52 -0.00 1.24 1.17 -0.00 -0.03 0.00
22.57 -0.00 1.24 1.17 -0.00 -0.09 0.01
22.62 -0.00 1.24 1.17 -0.00 -0.14 0.01
22.67 -0.00 1.23 1.17 -0.00 -0.18 0.01
22.72 -0.00 1.22 1.17 -0.00 -0.23 0.01
22.77 -0.00 1.21 1.17 -0.00 -0.26 0.01
22.82 -0.00 1.19 1.18 -0.00 -0.29 0.01
22.87 -0.00 1.18 1.18 -0.00 -0.31 0.01
22.92 -0.00 1.16 1.18 -0.00 -0.33 0.02
22.97 -0.00 1.14 1.18 -0.00 -0.34 0.02
23.2 -0.00 1.13 1.18 -0.00 -0.35 0.02
23.7 -0.00 1.11 1.18 -0.00 -0.36 0.01
23.12 -0.00 1.09 1.18 -0.00 -0.36 0.01
23.17 -0.00 1.07 1.18 -0.00 -0.35 0.01
23.22 -0.00 1.06 1.18 -0.00 -0.34 0.01
23.27 -0.00 1.04 1.18 -0.00 -0.33 0.01
23.32 -0.00 1.02 1.18 -0.00 -0.32 0.01
23.37 -0.00 1.01 1.18 -0.00 -0.30 0.01
23.42 -0.00 0.99 1.18 -0.00 -0.28 0.01
23.47 -0.00 0.98 1.18 -0.00 -0.26 0.01
23.52 -0.00 0.97 1.18 -0.00 -0.24 0.00
23.57 -0.00 0.96 1.18 -0.00 -0.22 0.00
23.62 -0.00 0.95 1.18 -0.00 -0.19 0.00
23.67 -0.00 0.94 1.18 -0.00 -0.17 0.00
23.72 -0.00 0.93 1.18 -0.00 -0.15 0.00
23.77 -0.00 0.92 1.18 -0.00 -0.12 0.00
23.82 -0.00 0.92 1.18 -0.00 -0.10 -0.00
23.87 -0.00 0.91 1.18 -0.00 -0.08 -0.00
23.92 -0.00 0.91 1.18 -0.00 -0.05 -0.00
23.97 -0.00 0.91 1.18 -0.00 -0.03 -0.00
24.2 -0.00 0.91 1.18 -0.00 -0.01 -0.00
24.7 -0.00 0.90 1.18 0.00 0.01 -0.00
24.12 -0.00 0.91 1.18 0.00 0.02 -0.00
24.17 -0.00 0.91 1.18 0.00 0.04 -0.00
24.22 -0.00 0.91 1.18 0.00 0.05 -0.00
24.27 -0.00 0.91 1.18 0.00 0.06 -0.00
24.32 -0.00 0.92 1.18 0.00 0.08 -0.00
24.37 -0.00 0.92 1.18 0.00 0.08 -0.00
24.42 -0.00 0.92 1.18 0.00 0.09 0.00
24.47 -0.00 0.93 1.18 0.00 0.10 0.00
24.52 -0.00 0.93 1.18 0.00 0.10 0.00
24.57 -0.00 0.94 1.18 0.00 0.11 0.00
24.62 -0.00 0.94 1.18 0.00 0.11 0.00
24.67 -0.00 0.95 1.18 0.00 0.11 0.00
24.72 -0.00 0.96 1.18 0.00 0.11 0.00
24.77 -0.00 0.96 1.18 0.00 0.11 0.00
24.82 -0.00 0.97 1.18 0.00 0.10 0.00
24.87 -0.00 0.97 1.18 -0.00 0.10 0.00
24.92 -0.00 0.98 1.18 -0.00 0.10 0.00
24.97 -0.00 0.98 1.18 -0.00 0.09 -0.00
25.2 -0.00 0.99 1.18 -0.00 0.09 -0.00
25.7 -0.00 0.99 1.18 -0.00 0.08 -0.00
25.12 -0.00 0.99 1.18 -0.00 0.07 -0.00
25.17 -0.00 1.00 1.18 -0.00 0.07 -0.00
25.22 -0.00 1.00 1.18 -0.00 0.06 -0.00
25.27 -0.00 1.00 1.18 -0.00 0.05 -0.00
25.32 -0.00 1.01 1.18 -0.00 0.05 -0.00
25.37 -0.00 1.01 1.18 -0.00 0.04 -0.00
25.42 -0.00 1.01 1.18 -0.00 0.03 -0.00
25.47 -0.00 1.01 1.18 -0.00 0.03 -0.00
25.52 -0.00 1.01 1.18 -0.00 0.02 -0.00
25.57 -0.00 1.01 1.18 -0.00 0.01 -0.00
25.62 -0.00 1.01 1.18 -0.00 0.01 -0.00
25.67 -0.00 1.01 1.18 -0.00 0.00 -0.00
25.72 -0.00 1.01 1.18 -0.00 -0.00 -0.00
25.77 -0.00 1.01 1.18 -0.00 -0.01 -0.00
25.82 -0.00 1.01 1.18 -0.00 -0.01 -0.00
25.87 -0.00 1.01 1.18 -0.00 -0.01 -0.00
25.92 -0.00 1.01 1.18 -0.00 -0.02 -0.00
25.97 -0.00 1.01 1.18 -0.00 -0.02 -0.00
26.2 -0.00 1.01 1.18 -0.00 -0.02 -0.00
26.7 -0.00 1.01 1.18 -0.00 -0.02 -0.00
26.12 -0.00 1.01 1.18 -0.00 -0.02 -0.00
26.17 -0.00 1.01 1.18 -0.00 -0.03 -0.00
26.22 -0.00 1.01 1.18 -0.00 -0.03 -0.00
26.27 -0.00 1.00 1.18 -0.00 -0.03 -0.00
26.32 -0.00 1.00 1.18 -0.00 -0.03 -0.00
26.37 -0.00 1.00 1.18 -0.00 -0.03 -0.00
26.42 -0.00 1.00 1.18 -0.00 -0.02 -0.00
26.47 -0.00 1.00 1.18 -0.00 -0.02 -0.00
26.52 -0.00 1.00 1.18 -0.00 -0.02 -0.00
26.57 -0.00 1.00 1.18 -0.00 -0.02 -0.00
26.62 -0.00 1.00 1.18 -0.00 -0.02 -0.00
26.67 -0.00 0.99 1.18 -0.00 -0.02 -0.00
26.72 -0.00 0.99 1.18 -0.00 -0.02 -0.00
26.77 -0.00 0.99 1.18 -0.00 -0.01 -0.00
26.82 -0.00 0.99 1.18 -0.00 -0.01 -0.00
26.87 -0.00 0.99 1.18 -0.00 -0.01 -0.00
26.92 -0.00 0.99 1.18 -0.00 -0.01 -0.00
26.97 -0.00 0.99 1.18 -0.00 -0.01 -0.00
27.2 -0.00 0.99 1.18 -0.00 -0.01 -0.00
27.7 -0.00 0.99 1.18 -0.00 -0.00 -0.00
27.12 -0.00 0.99 1.18 -0.00 -0.00 -0.00
